Latitude,Longitude,Country,Status,Capacity (MWe),Year
59.206,18.0829,Sweden,Shutdown,9,1964
69.709579,170.30625,Russia,Operational,30,2020
69.709579,170.30625,Russia,Operational,30,2020
43.607,51.283,Kazakhstan,Shutdown,52,1973
39.807,-5.698,Spain,Operational,900,1983
39.807,-5.698,Spain,Operational,900,1984
-23.008,-44.457,Brazil,Operational,609,1985
-23.008,-44.457,Brazil,Operational,1245,2001
55.084,36.57,Russia,Shutdown,5,1954
35.31,-93.23,United States,Operational,850,1974
35.31,-93.229,United States,Operational,912,1980
40.182,44.147,Armenia,Shutdown,376,1977
40.182,44.147,Armenia,Operational,375,1980
41.202,0.571,Spain,Operational,888,1984
41.202,0.571,Spain,Operational,888,1986
-33.967,-59.209,Argentina,Operational,319,1974
-33.967,-59.209,Argentina,Operational,692,2016
52.092,47.952,Russia,Operational,950,1986
52.092,47.952,Russia,Operational,950,1988
52.092,47.952,Russia,Operational,950,1989
52.092,47.952,Russia,Operational,950,1993
23.952748,52.193298,United Arab Emirates,Operational,1310,2021
23.952748,52.193298,United Arab Emirates,Operational,1310,2022
23.952748,52.203298,United Arab Emirates,Operational,1310,2023
55.745,12.926,Sweden,Shutdown,570,1975
55.745,12.926,Sweden,Shutdown,570,1977
40.624,-80.432,United States,Operational,835,1976
40.624,-80.432,United States,Operational,836,1987
54.766667,26.116667,Belarus,Operational,1110,2021
47.511,2.871,France,Operational,1310,1988
47.511,2.871,France,Operational,1310,1989
56.842,61.321,Russia,Shutdown,102,1964
56.842,61.321,Russia,Shutdown,146,1969
56.842,61.321,Russia,Operational,560,1981
56.842,61.321,Russia,Operational,820,2016
51.692,-2.494,United Kingdom,Shutdown,138,1962
51.692,-2.494,United Kingdom,Shutdown,138,1962
47.552,8.229,Switzerland,Operational,350,1969
47.552,8.229,Switzerland,Operational,350,1972
49.709,8.415,Germany,Shutdown,1146,1975
49.709,8.415,Germany,Shutdown,1178,1977
45.359,-85.195,United States,Shutdown,72,1963
68.059,166.492,Russia,Shutdown,11,1974
68.059,166.492,Russia,Operational,11,1975
68.059,166.492,Russia,Operational,11,1976
68.059,166.492,Russia,Operational,11,1977
45.256,-0.691,France,Operational,910,1981
45.256,-0.691,France,Operational,910,1983
45.256,-0.691,France,Operational,910,1983
45.256,-0.691,France,Operational,910,1983
48.494,17.687,Slovakia,Shutdown,408,1980
48.494,17.687,Slovakia,Shutdown,408,1981
48.494,17.687,Slovakia,Operational,466,1985
48.494,17.687,Slovakia,Operational,466,1985
48.494,17.687,Slovakia,Shutdown,110,1972
18.365,-67.268,United States,Shutdown,17,1965
51.431,3.719,Netherlands,Operational,495,1973
51.217,5.099,Belgium,Shutdown,11,1962
51.742,0.899,United Kingdom,Shutdown,150,1962
51.742,0.899,United Kingdom,Shutdown,150,1962
41.247,-88.23,United States,Operational,1120,1988
41.247,-88.23,United States,Operational,1120,1988
53.85,9.345,Germany,Shutdown,1307,1986
34.704,-87.119,United States,Operational,1065,1974
34.704,-87.119,United States,Operational,1065,1975
34.704,-87.119,United States,Operational,1065,1977
44.341,-81.572,Canada,Operational,732,1977
44.341,-81.572,Canada,Operational,732,1977
44.341,-81.572,Canada,Operational,750,1978
44.341,-81.572,Canada,Operational,750,1979
44.341,-81.572,Canada,Operational,822,1985
44.341,-81.572,Canada,Operational,822,1984
44.341,-81.572,Canada,Operational,822,1986
44.341,-81.572,Canada,Operational,795,1987
53.891,9.202,Germany,Shutdown,770,1977
33.958,-78.007,United States,Operational,821,1977
33.958,-78.007,United States,Operational,821,1975
45.796,5.268,France,Shutdown,540,1972
45.796,5.268,France,Operational,920,1979
45.798,5.268,France,Operational,920,1979
45.8,5.267,France,Operational,900,1979
45.8,5.267,France,Operational,900,1980
28.831,50.887,Iran,Operational,915,2013
42.074,-89.277,United States,Operational,1120,1985
42.074,-89.277,United States,Operational,1120,1987
54.42,-3.491,United Kingdom,Shutdown,35,1956
54.42,-3.491,United Kingdom,Shutdown,35,1957
54.42,-3.491,United Kingdom,Shutdown,35,1958
54.42,-3.491,United Kingdom,Shutdown,35,1959
38.763,-91.781,United States,Operational,1171,1984
38.435,-76.439,United States,Operational,845,1975
38.435,-76.439,United States,Operational,845,1977
45.072,9.872,Italy,Shutdown,840,1981
34.263,-81.33,United States,Shutdown,17,1963
35.053,-81.071,United States,Operational,1145,1985
35.053,-81.071,United States,Operational,1145,1986
49.416,6.217,France,Operational,1300,1987
49.416,6.217,France,Operational,1300,1988
49.416,6.217,France,Operational,1300,1991
49.416,6.217,France,Operational,1300,1992
44.322,28.061,Romania,Operational,650,1996
44.322,28.061,Romania,Operational,650,2007
19.46075,108.899917,China,Operational,601,2015
19.46075,108.899917,China,Operational,601,2016
55.014,-3.223,United Kingdom,Shutdown,35,1959
55.014,-3.223,United Kingdom,Shutdown,35,1959
55.014,-3.223,United Kingdom,Shutdown,35,1959
55.014,-3.223,United Kingdom,Shutdown,35,1960
32.392,71.463,Pakistan,Operational,300,2000
32.392,71.463,Pakistan,Operational,300,2011
32.392,71.465,Pakistan,Operational,315,2016
32.391944,71.461667,Pakistan,Operational,313,2017
51.389,30.103,Ukraine,Shutdown,925,1978
51.389,30.103,Ukraine,Shutdown,925,1979
51.389,30.103,Ukraine,Shutdown,925,1982
51.389,30.103,Ukraine,Shutdown,925,1984
25.292,121.567,Taiwan,Shutdown,604,1978
25.292,121.567,Taiwan,Shutdown,604,1979
47.232,0.167,France,Shutdown,68,1964
